Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
54,Male,Construction mgt,Post Graduate,Married,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,7-8 hours,5 to 6,5-6 hours,3-4 hours
18,Male,Computer sciences,Second Year,Single,First Class,Not at all,Occasionally,Occasionally,Frequently,Sometimes,Occasionally,3-4 hours,1 to 2,5-6 hours,1-2 hours
25,Female,Agriculture Economics ,Post Graduate,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
19,Female,Genetics and Biotechnology ,Second Year,Single,First Class,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,7-8 hours,3-4 hours
25,Male,Mathematics and Computer Science,Fourth Year,Single,Second Class Upper,Frequently,Frequently,Occasionally,Frequently,Sometimes,Frequently,5-6 hours,0,Less than 5 hours,0
20,Male,Computer Engineering ,Fifth Year,Single,Second Class Lower,Frequently,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,7-8 hours,0,5-6 hours,0
20,Male,Computer Science ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,0-2 hours,0,5-6 hours,1-2 hours
25,Male,Computer science ,Fourth Year,Single,First Class,Occasionally,Not at all,Occasionally,Not at all,Never,Never,5-6 hours,0,7-8 hours,1-2 hours
19,Male,Fine arts and design ,First Year,Single,Second Class Lower,Almost constantly,Occasionally,Occasionally,Frequently,Sometimes,Rarely,0-2 hours,0,7-8 hours,1-2 hours
18,Female,Psychology,Second Year,Single,Second Class Lower,Almost constantly,Almost constantly,Almost constantly,Occasionally,Always,Occasionally,5-6 hours,0,7-8 hours,1-2 hours
24,Male,Computer Science ,Fourth Year,Single,First Class,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,5-6 hours,3 to 4,5-6 hours,1-2 hours
20,Female,Accounting ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Almost constantly,Occasionally,Sometimes,Rarely,3-4 hours,0,5-6 hours,1-2 hours
28,Male,Science Education ,Fourth Year,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,0-2 hours,0,5-6 hours,1-2 hours
20,Male,Microbiology ,Fourth Year,Single,First Class,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,Less than 5 hours,5-6 hours
18,Male,Computer science ,First Year,Single,Second Class Upper,Occasionally,Not at all,Frequently,Frequently,Sometimes,Rarely,5-6 hours,1 to 2,5-6 hours,3-4 hours
16,Female,Law,First Year,Single,First Class,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Rarely,9-10 hours,1 to 2,5-6 hours,1-2 hours
22,Female,Nursing Science ,Fourth Year,Single,First Class,Occasionally,Frequently,Almost constantly,Occasionally,Sometimes,Occasionally,7-8 hours,0,5-6 hours,3-4 hours
17,Female,Law,Second Year,Single,Second Class Upper,Occasionally,Not at all,Frequently,Occasionally,Always,Rarely,10 or more,0,9 or more hours,0
16,Male,Computer science ,First Year,Single,First Class,Occasionally,Not at all,Occasionally,Frequently,Sometimes,Never,3-4 hours,0,5-6 hours,3-4 hours
21,Male,Law,Fifth Year,Single,Second Class Upper,Frequently,Frequently,Frequently,Almost constantly,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
19,Male,Computer science,Fourth Year,Single,Second Class Upper,Frequently,Almost constantly,Almost constantly,Frequently,Always,Occasionally,5-6 hours,0,Less than 5 hours,1-2 hours
25,Male,Nursing ,Fifth Year,Married,First Class,Occasionally,Not at all,Frequently,Occasionally,Sometimes,Rarely,5-6 hours,1 to 2,5-6 hours,1-2 hours
20,Female,Computer Engineering ,Fourth Year,Single,Second Class Upper,Frequently,Frequently,Almost constantly,Frequently,Sometimes,Occasionally,3-4 hours,0,7-8 hours,3-4 hours
17,Male,Computer science,Second Year,Single,First Class,Not at all,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,0-2 hours,0,Less than 5 hours,0
19,Male,Computer Science,Third Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Rarely,5-6 hours,1 to 2,7-8 hours,1-2 hours
22,Male,Economics ,Fourth Year,Single,First Class,Occasionally,Not at all,Occasionally,Occasionally,Sometimes,Rarely,7-8 hours,0,7-8 hours,1-2 hours
20,Female,Law,Fifth Year,Single,First Class,Frequently,Almost constantly,Frequently,Frequently,Sometimes,Never,9-10 hours,0,5-6 hours,1-2 hours
23,Male,Computer science,Second Year,Single,Second Class Lower,Occasionally,Frequently,Almost constantly,Frequently,Sometimes,Occasionally,5-6 hours,0,Less than 5 hours,1-2 hours
23,Male,Computer science ,Post Graduate,Single,Second Class Lower,Occasionally,Frequently,Frequently,Frequently,Always,Occasionally,7-8 hours,0,Less than 5 hours,0
20,Female,Biology ,Post Graduate,Single,Second Class Upper,Almost constantly,Frequently,Frequently,Frequently,Sometimes,Frequently,7-8 hours,0,7-8 hours,3-4 hours
19,Female,Law,Fourth Year,Single,Second Class Upper,Occasionally,Frequently,Frequently,Frequently,Always,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
21,Male,Computer Science ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Always,Rarely,3-4 hours,0,5-6 hours,5-6 hours
19,Female,Medical laboratory science ,Fifth Year,Single,First Class,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Never,10 or more,0,7-8 hours,0
22,Female,Medical laboratory science,Fourth Year,Single,Second Class Upper,Frequently,Occasionally,Occasionally,Almost constantly,Sometimes,Occasionally,10 or more,0,5-6 hours,0
20,Male,Medical Laboratory Science,Fifth Year,Single,First Class,Not at all,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
21,Female,Medical laboratory science ,Fifth Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,3-4 hours
22,Female,Computer Science,Fourth Year,Single,Second Class Upper,Occasionally,Not at all,Almost constantly,Almost constantly,Always,Never,3-4 hours,0,Less than 5 hours,3-4 hours
17,Female,Nursing science ,Second Year,Single,Second Class Upper,Frequently,Occasionally,Almost constantly,Frequently,Sometimes,Rarely,3-4 hours,0,5-6 hours,0
22,Female,Medical laboratory science ,Fourth Year,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,Less than 5 hours,5-6 hours
19,Male,Nursing ,Second Year,Single,Second Class Lower,Frequently,Occasionally,Frequently,Almost constantly,Always,Frequently,5-6 hours,1 to 2,Less than 5 hours,5-6 hours
21,Female,Computer Science,Fourth Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Occasionally,7-8 hours,0,5-6 hours,3-4 hours
24,Male,Masters,Post Graduate,Single,First Class,Occasionally,Almost constantly,Occasionally,Frequently,Sometimes,Occasionally,5-6 hours,0,7-8 hours,0
18,Female,Q,First Year,Single,Second Class Upper,Frequently,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,Less than 5 hours,0
24,Male,Fine Arts and Design ,Post Graduate,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,1-2 hours
19,Female,Chemistry ,First Year,Single,Second Class Lower,Almost constantly,Almost constantly,Almost constantly,Almost constantly,Always,Rarely,9-10 hours,0,Less than 5 hours,0
17,Female,Computer Science ,First Year,Single,Second Class Lower,Occasionally,Not at all,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
21,Female,International Law,Fourth Year,Single,First Class,Occasionally,Frequently,Frequently,Occasionally,Never,Never,0-2 hours,3 to 4,5-6 hours,3-4 hours
20,Female,Architecture ,Fourth Year,Single,Second Class Lower,Frequently,Almost constantly,Frequently,Occasionally,Sometimes,Rarely,3-4 hours,0,Less than 5 hours,1-2 hours
18,Female,Psychology ,Third Year,Single,Second Class Upper,Frequently,Almost constantly,Almost constantly,Frequently,Sometimes,Rarely,5-6 hours,0,Less than 5 hours,1-2 hours
19,Female,Medicine and Surgery ,Second Year,Single,Second Class Upper,Frequently,Almost constantly,Almost constantly,Occasionally,Always,Rarely,7-8 hours,0,Less than 5 hours,3-4 hours
20,Female,International relations and diplomacy ,Third Year,Single,Third Class,Almost constantly,Almost constantly,Almost constantly,Almost constantly,Always,Frequently,5-6 hours,0,7-8 hours,0
19,Male,Computer science ,Fourth Year,Single,Second Class Lower,Not at all,Frequently,Frequently,Frequently,Sometimes,Rarely,7-8 hours,0,Less than 5 hours,0
18,Female,Computer science ,Fourth Year,Single,First Class,Frequently,Occasionally,Frequently,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
20,Male,Computer science ,Third Year,Single,Third Class,Frequently,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,7-8 hours,0,5-6 hours,1-2 hours
21,Male,Health science ,Third Year,Single,Third Class,Not at all,Not at all,Not at all,Occasionally,Sometimes,Never,3-4 hours,0,7-8 hours,1-2 hours
17,Male,Banking and Finance ,Second Year,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Frequently,Sometimes,Occasionally,3-4 hours,0,7-8 hours,3-4 hours
16,Female,Law,First Year,Single,Second Class Lower,Almost constantly,Frequently,Almost constantly,Not at all,Sometimes,Occasionally,7-8 hours,0,5-6 hours,0
19,Female,Criminology ,Third Year,Single,2.40 to 3.49,Not at all,Occasionally,Occasionally,Occasionally,Always,Rarely,10 or more,0,Less than 5 hours,0
20,Male,Computer science ,Fourth Year,Single,First Class,Frequently,Not at all,Frequently,Frequently,Sometimes,Occasionally,3-4 hours,0,5-6 hours,1-2 hours
22,Female,Computer Engineering ,Fifth Year,Single,First Class,Occasionally,Not at all,Frequently,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,1-2 hours
22,Male,Engineering ,Fifth Year,Single,Second Class Lower,Not at all,Occasionally,Frequently,Not at all,Sometimes,Rarely,3-4 hours,0,7-8 hours,0
19,Female,Human nutrition and dietetics ,Second Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,5-6 hours,0,Less than 5 hours,1-2 hours
21,Male,Mechanical engineering ,Fifth Year,Single,Second Class Lower,Frequently,Not at all,Occasionally,Frequently,Sometimes,Never,10 or more,1 to 2,7-8 hours,0
20,Male,Electrical and electronics engineering ,Fifth Year,Single,First Class,Frequently,Frequently,Frequently,Almost constantly,Sometimes,Frequently,3-4 hours,0,7-8 hours,5-6 hours
20,Male,Electrical and electronics engineering ,Fifth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
20,Male,Electrical and electronics engineering ,Fifth Year,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Never,5-6 hours,0,7-8 hours,0
20,Male,EEE,Fifth Year,Single,First Class,Occasionally,Not at all,Frequently,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
21,Female,Electrical and Electronics Engineering ,Fifth Year,Single,Second Class Upper,Frequently,Occasionally,Frequently,Occasionally,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
20,Male,Medicine,Third Year,Single,First Class,Occasionally,Not at all,Frequently,Occasionally,Never,Never,7-8 hours,0,Less than 5 hours,5-6 hours
34,Male,Artificial Intelligence ,Post Graduate,Married,First Class,Not at all,Not at all,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,Less than 5 hours,7 and above
28,Female,Library and Information Science ,Post Graduate,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Not at all,Sometimes,Never,0-2 hours,0,7-8 hours,3-4 hours
20,Male,EER,Fifth Year,Single,Second Class Upper,Frequently,Frequently,Frequently,Frequently,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
43,Male,Statistics ,Post Graduate,Married,Second Class Lower,Occasionally,Almost constantly,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,9 or more hours,5-6 hours
17,Female,Material sci engineering ,Second Year,Single,Second Class Lower,Almost constantly,Not at all,Occasionally,Frequently,Always,Frequently,7-8 hours,0,Less than 5 hours,1-2 hours
20,Female,Computer engineering ,Fifth Year,Single,First Class,Not at all,Not at all,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,5-6 hours
20,Male,Pharmacy ,Second Year,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Frequently,Sometimes,Occasionally,7-8 hours,0,Less than 5 hours,1-2 hours
25,Male,Engineering ,Post Graduate,Single,First Class,Not at all,Not at all,Not at all,Not at all,Never,Never,0-2 hours,0,9 or more hours,3-4 hours
23,Male,Psychology,Post Graduate,Married,First Class,Occasionally,Occasionally,Occasionally,Not at all,Sometimes,Rarely,5-6 hours,0,7-8 hours,3-4 hours
19,Male,Psychology,Second Year,Single,Second Class Lower,Occasionally,Occasionally,Frequently,Occasionally,Never,Never,0-2 hours,0,7-8 hours,1-2 hours
21,Male,Mechanical Engineering,Post Graduate,Single,Second Class Upper,Occasionally,Almost constantly,Frequently,Occasionally,Sometimes,Never,5-6 hours,0,7-8 hours,1-2 hours
20,Female,Film Studies,Third Year,Single,Second Class Upper,Occasionally,Almost constantly,Not at all,Occasionally,Never,Rarely,3-4 hours,1 to 2,7-8 hours,1-2 hours
20,Male,Engineering ,Third Year,Single,First Class,Almost constantly,Frequently,Almost constantly,Almost constantly,Always,Occasionally,3-4 hours,0,Less than 5 hours,3-4 hours
18,Male,Computer engineering??,Third Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Frequently,Sometimes,Rarely,3-4 hours,0,5-6 hours,1-2 hours
18,Female,Information and communication engineering ,Third Year,Single,Second Class Upper,Occasionally,Almost constantly,Almost constantly,Frequently,Sometimes,Never,5-6 hours,0,7-8 hours,1-2 hours
18,Male,Computer Engineering ,Third Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,3-4 hours,0,5-6 hours,1-2 hours
21,Male,Computer Science ,Fourth Year,Single,Second Class Upper,Occasionally,Almost constantly,Frequently,Occasionally,Sometimes,Rarely,3-4 hours,0,Less than 5 hours,3-4 hours
22,Female,Computer science ,Fourth Year,Single,Second Class Lower,Occasionally,Frequently,Frequently,Frequently,Sometimes,Occasionally,5-6 hours,1 to 2,Less than 5 hours,3-4 hours
20,Male,Engineering ,First Year,Single,Second Class Lower,Frequently,Almost constantly,Frequently,Frequently,Sometimes,Never,5-6 hours,0,7-8 hours,1-2 hours
26,Female,Teacher Training,Post Graduate,Single,Second Class Upper,Almost constantly,Frequently,Frequently,Frequently,Sometimes,Occasionally,3-4 hours,0,5-6 hours,3-4 hours
19,Male,Literature ,Third Year,Single,First Class,Frequently,Frequently,Not at all,Occasionally,Always,Never,5-6 hours,0,7-8 hours,1-2 hours
19,Male,IT,First Year,Single,Second Class Upper,Occasionally,Occasionally,Almost constantly,Almost constantly,Sometimes,Frequently,7-8 hours,0,Less than 5 hours,0
25,Female,Education,Post Graduate,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Frequently,Sometimes,Rarely,0-2 hours,0,5-6 hours,1-2 hours
20,Female,Kink,Post Graduate,Widowed,Second Class Upper,Not at all,Almost constantly,Not at all,Frequently,Sometimes,Rarely,7-8 hours,5 to 6,5-6 hours,1-2 hours
18,Male,psychology,First Year,Single,First Class,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,5-6 hours,1 to 2,7-8 hours,5-6 hours
28,Female,Psychology ,Post Graduate,Single,First Class,Frequently,Frequently,Frequently,Frequently,Sometimes,Occasionally,0-2 hours,0,7-8 hours,1-2 hours
20,Male,Accounting,Second Year,Single,Second Class Upper,Occasionally,Frequently,Frequently,Occasionally,Always,Never,3-4 hours,0,5-6 hours,7 and above
24,Female,English Education ,Post Graduate,Single,Second Class Upper,Frequently,Occasionally,Frequently,Frequently,Sometimes,Frequently,0-2 hours,0,7-8 hours,0
22,Male,Environmental Science,Third Year,Single,Pass,Almost constantly,Almost constantly,Almost constantly,Almost constantly,Always,Frequently,10 or more,7 or more,9 or more hours,7 and above
25,Female,Management,Third Year,Single,First Class,Occasionally,Occasionally,Frequently,Frequently,Sometimes,Rarely,0-2 hours,0,7-8 hours,5-6 hours
24,Female,Financial Management,Post Graduate,Single,First Class,Not at all,Not at all,Not at all,Not at all,Never,Never,3-4 hours,0,7-8 hours,3-4 hours
19,Female,Psychology ,First Year,Single,Second Class Upper,Frequently,Frequently,Frequently,Occasionally,Sometimes,Never,7-8 hours,0,7-8 hours,1-2 hours
22,Female,Accounting,Third Year,Single,Second Class Lower,Frequently,Occasionally,Frequently,Frequently,Sometimes,Frequently,3-4 hours,0,9 or more hours,3-4 hours
21,Female,Psychology,Third Year,Single,First Class,Occasionally,Frequently,Frequently,Not at all,Sometimes,Never,5-6 hours,0,7-8 hours,1-2 hours
25,Male,Computer Science ,Fourth Year,Single,Second Class Upper,Frequently,Almost constantly,Frequently,Almost constantly,Always,Frequently,5-6 hours,0,Less than 5 hours,1-2 hours
25,Male,Computer science ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,1 to 2,9 or more hours,1-2 hours
18,Female,Law,Third Year,Single,First Class,Occasionally,Occasionally,Frequently,Frequently,Always,Occasionally,3-4 hours,0,5-6 hours,3-4 hours
40,Female,Psychology ,Third Year,Married,Pass,Almost constantly,Almost constantly,Almost constantly,Almost constantly,Always,Occasionally,0-2 hours,0,Less than 5 hours,1-2 hours
23,Female,Bachelor,Third Year,Single,Second Class Upper,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Occasionally,5-6 hours,5 to 6,7-8 hours,3-4 hours
18,Male,Computer science ,Second Year,Single,First Class,Occasionally,Occasionally,Frequently,Frequently,Sometimes,Occasionally,5-6 hours,1 to 2,5-6 hours,3-4 hours
22,Male,Accounting ,Third Year,Single,Second Class Upper,Not at all,Frequently,Not at all,Occasionally,Sometimes,Rarely,5-6 hours,1 to 2,Less than 5 hours,3-4 hours
23,Female,Sociology ,Second Year,Single,Second Class Upper,Occasionally,Frequently,Almost constantly,Occasionally,Sometimes,Rarely,7-8 hours,0,7-8 hours,3-4 hours
22,Male,Sociology ,Third Year,Single,Second Class Lower,Occasionally,Almost constantly,Frequently,Frequently,Sometimes,Frequently,3-4 hours,0,Less than 5 hours,5-6 hours
17,Male,Computer science,Second Year,Single,First Class,Not at all,Occasionally,Not at all,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,0
